Gemeindeschlüssel,plz,ort,bundesland,energietraeger,einspeisespannungsebene,leistung,einspeisemanagement,inbetriebnahme,netzzugang,ausserbetriebnahme,netzabgang,netzbetreiber,eiccode,bnetznr,anlagenschluessel,zaehlpunktbezeichnung,leistungsgemesseneanlage,aggregatzustandfluessig,aggregatzustandgas,aggregatzustandfest,anlagenuntertyp,pruefergebnis,status,markierung,menge_kwh,jahr
0713301045,55585,Hochstätten,RP,WIN,HS/MS,2000,regelbar und abrufbar nach § 6 EEG Abs.1,18/01/2012,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000068450000005345,DE0003965558500000000000052349636,Ja,,,,,,,0,3118619,2019
0733304076,67294,Stetten,RP,WIN,HS/MS,3170,regelbar und abrufbar nach § 6 EEG Abs.1,14/02/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000077080000006148,DE0003966729400000000000052357595,Ja,,,,,,,0,7477337,2019
0733304076,67294,Stetten,RP,WIN,HS/MS,3170,regelbar und abrufbar nach § 6 EEG Abs.1,07/02/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000077080000006149,DE0003966729400000000000052357595,Ja,,,,,,,0,7477337,2019
0733304076,67294,Stetten,RP,WIN,HS/MS,3170,regelbar und abrufbar nach § 6 EEG Abs.1,29/12/2012,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000077080000006150,DE0003966729400000000000052357595,Ja,,,,,,,0,7477337,2019
0733101024,55234,Flomborn,RP,WIN,HS/MS,3075,regelbar und abrufbar nach § 6 EEG Abs.1,21/12/2012,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000085560000006845,DE0003966729400000000000052357975,Ja,,,,,,,0,6484622,2019
0733101024,55234,Flomborn,RP,WIN,HS/MS,3075,regelbar und abrufbar nach § 6 EEG Abs.1,28/12/2012,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000085570000006846,DE0003966729400000000000052357975,Ja,,,,,,,0,6484622,2019
0733101024,55234,Flomborn,RP,WIN,HS/MS,3075,regelbar und abrufbar nach § 6 EEG Abs.1,25/01/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000085580000006847,DE0003966729400000000000052357975,Ja,,,,,,,0,6484622,2019
0733101024,55234,Flomborn,RP,WIN,HS/MS,3075,regelbar und abrufbar nach § 6 EEG Abs.1,07/02/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000085590000006848,DE0003966729400000000000052357975,Ja,,,,,,,0,6484622,2019
0733101024,55234,Flomborn,RP,WIN,HS/MS,3075,regelbar und abrufbar nach § 6 EEG Abs.1,21/02/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000087220000006951,DE0003966729400000000000052357975,Ja,,,,,,,0,6484628,2019
0734008221,66484,Riedelberg,RP,WIN,MS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,19/07/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000093180000007504,DE0003966649700000000000052361557,Ja,,,,,,,0,4144935,2019
0734008221,66484,Riedelberg,RP,WIN,MS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,29/07/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000093220000007507,DE0003966649700000000000052361557,Ja,,,,,,,0,4144935,2019
0734008221,66484,Riedelberg,RP,WIN,MS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,02/08/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000093240000007509,DE0003966649700000000000052361557,Ja,,,,,,,0,4144935,2019
0734008221,66484,Riedelberg,RP,WIN,MS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,16/08/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000093260000007510,DE0003966649700000000000052361557,Ja,,,,,,,0,4144927,2019
0713301032,55546,Fürfeld,RP,WIN,MS,2300,regelbar und abrufbar nach § 6 EEG Abs.1,27/12/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000102220000011949,DE0003966782100000000000052364237,Ja,,,,,,GEÄNDERT,0,3966213,2019
0713301032,55546,Fürfeld,RP,WIN,HS/MS,3050,regelbar und abrufbar nach § 6 EEG Abs.1,23/12/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000102220000011950,DE0003966782100000000000052364237,Ja,,,,,,,0,5712691,2019
0713301032,55546,Fürfeld,RP,WIN,MS,3050,regelbar und abrufbar nach § 6 EEG Abs.1,18/12/2013,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0005000102220000011951,DE0003966782100000000000052364237,Ja,,,,,,GEÄNDERT,0,5549703,2019
0713301032,55546,Fürfeld,RP,WIN,HS/MS,3050,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",14/07/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA000500010222FUERFELD04,DE0003966782100000000000052364237,Ja,,,,,,,0,5549703,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",01/08/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000001,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",28/07/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000002,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",12/08/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000003,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",19/08/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000004,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",25/08/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000005,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",13/08/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000006,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",22/08/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000007,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",22/08/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000008,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",17/09/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000009,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",04/09/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000010,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733307003,67821,Alsenz,RP,WIN,HS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",19/09/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA00UWALSENZ370000000011,DE0003966782100000000000053002672,Ja,,,,,,,0,6980442,2019
0733303026,67307,Göllheim,RP,WIN,MS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",18/07/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0ENERGIEPARKGOLLHEIM01,DE0003966730700000000000053002800,Ja,,,,,,,0,6902789,2019
0713301032,55546,Fürfeld,RP,WIN,HS/MS,3050,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",03/12/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0FUERFELD000WEA0501617,DE0003966782100000000000052364237,Ja,,,,,,,0,5549703,2019
0713301032,55546,Fürfeld,RP,WIN,HS/MS,3050,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",10/12/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0FUERFELD000WEA0601530,DE0003966782100000000000052364237,Ja,,,,,,,0,5549703,2019
0713301032,55546,Fürfeld,RP,WIN,HS/MS,3050,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",17/11/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0FUERFELD000WEA0700155,DE0003966782100000000000052364237,Ja,,,,,,,0,5549709,2019
0734009219,66919,Obernheim-Kirchenarnbach,RP,WIN,HS,3300,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",07/11/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0UWLINDENWEA1003501534,DE0003966691900000000000053003182,Ja,,,,,,,0,8325595,2019
0734009219,66919,Obernheim-Kirchenarnbach,RP,WIN,HS,3300,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",07/11/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA0UWLINDENWEA2003501550,DE0003966691900000000000053003182,Ja,,,,,,,0,8325595,2019
0733303006,67308,Biedesheim,RP,WIN,MS,2530,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach§ 6 Nr 1 EEG 2009",06/02/2015,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,,10002992,E3025401WEA100BUBENHEIM0003530582,,Ja,,,,,,,0,6152309,2019
0733306009,67725,Börrstadt,RP,WIN,HS/MS,3050,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",30/12/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA1SIPPERSFELD0337001329,DE0003966772800000000000053004719,Ja,,,,,,,0,7685863,2019
0733306071,67729,Sippersfeld,RP,WIN,HS/MS,3050,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",17/12/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA2SIPPERSFELD0337001494,DE0003966772800000000000053004719,Ja,,,,,,,0,7685863,2019
0733303006,67308,Biedesheim,RP,WIN,MS,2530,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach§ 6 Nr 1 EEG 2009",20/02/2015,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,,10002992,E3025401WEA300BUBENHEIM0003530502,,Ja,,,,,,,0,6152305,2019
0733306071,67729,Sippersfeld,RP,WIN,HS/MS,3050,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",23/12/2014,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E3025401WEA3SIPPERSFELD0337001495,DE0003966772800000000000053004719,Ja,,,,,,,0,7685863,2019
0733502026,67678,Mehlingen,RP,WIN,MS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",05/11/2014,0000-00-00,0000-00-00,0000-00-00,SWK Stadtwerke Kaiserslautern Versorgungs-AG,11YR00000002596Z_D_KNS_TWK,10003622,E30613019020000000000000589300001,DE0003216765790200000000000005893,Ja,,,,,,,0,6699240,2019
0733502026,67678,Mehlingen,RP,WIN,MS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",05/11/2014,0000-00-00,0000-00-00,0000-00-00,SWK Stadtwerke Kaiserslautern Versorgungs-AG,11YR00000002596Z_D_KNS_TWK,10003622,E30613019020000000000000589300002,DE0003216765790200000000000005893,Ja,,,,,,,0,6699240,2019
0733502026,67678,Mehlingen,RP,WIN,MS,3075,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",10/11/2014,0000-00-00,0000-00-00,0000-00-00,SWK Stadtwerke Kaiserslautern Versorgungs-AG,11YR00000002596Z_D_KNS_TWK,10003622,E30613019020000000000000589300003,DE0003216765790200000000000005893,Ja,,,,,,,0,6699240,2019
0733307025,67813,Gerbach,RP,WIN,MS,2000,regelbar und abrufbar nach § 6 EEG Abs.1,23/07/2003,0000-00-00,0000-00-00,0000-00-00,e-rp GmbH,11YR00000004459Z,10001416,E30773010000000000000000200100013,DE0003426729200000000000000002001,Ja,,,,,,GEÄNDERT,0,3948094.41,2019
0733307025,67813,Gerbach,RP,WIN,MS,1800,regelbar und abrufbar nach § 6 EEG Abs.1,30/09/2003,0000-00-00,0000-00-00,0000-00-00,e-rp GmbH,11YR00000004459Z,10001416,E30773010000000000000000200100014,DE0003426729200000000000000002001,Ja,,,,,,GEÄNDERT,0,3553284.97,2019
0733307025,67813,Gerbach,RP,WIN,MS,1800,regelbar und abrufbar nach § 6 EEG Abs.1,30/09/2003,0000-00-00,0000-00-00,0000-00-00,e-rp GmbH,11YR00000004459Z,10001416,E30773010000000000000000200100015,DE0003426729200000000000000002001,Ja,,,,,,GEÄNDERT,0,3553284.97,2019
0733806016,67245,Lambsheim,RP,WIN,MS,2000,regelbar nach § 6 EEG Abs. 1 und Vorraussetzung nach § 3 MaPrV erfüllt,31/03/2011,0000-00-00,0000-00-00,0000-00-00,Gemeindeverwaltung Lambsheim,11YR00000001894W,10000856,E30856010000000000000000000100064,DE0072576724500000000000000003748,Ja,,,,,,GEÄNDERT,0,2921539,2019
0733806016,67245,Lambsheim,RP,WIN,MS,2000,regelbar nach § 6 EEG Abs. 1 und Vorraussetzung nach § 3 MaPrV erfüllt,31/03/2011,0000-00-00,0000-00-00,0000-00-00,Gemeindeverwaltung Lambsheim,11YR00000001894W,10000856,E30856010000000000000000000100070,DE0072576724500000000000000003748,Ja,,,,,,GEÄNDERT,0,2921539,2019
0733806013,67259,Heuchelheim,RP,WIN,MS,2012,regelbar und abrufbar nach § 6 EEG Abs.1,27/12/2002,0000-00-00,0000-00-00,0000-00-00,Stadtwerke Frankenthal GmbH,11YR00000001247S,10000873,E30873010003403410000000S00100002,DE000191672590003403410000000S001,Ja,,,,,,,0,2508602.28,2019
0731500000,55129,Mainz,RP,WIN,MS,600,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",03/03/2000,0000-00-00,0000-00-00,0000-00-00,Mainzer Netze GmbH,11YR00000001258N,10003079,E31060010000000072131001000100095,DE0004055512900000000721310010001,Ja,,,,,,,0,712896.69,2019
0731500000,55129,Mainz,RP,WIN,MS,800,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",23/07/2007,0000-00-00,0000-00-00,0000-00-00,Mainzer Netze GmbH,11YR00000001258N,10003079,E31060010000000072260994100100283,DE0004055512900000000722809910001,Ja,,,,,,,0,1325213.41,2019
0731500000,55129,Mainz,RP,WIN,MS,600,regelbar und abrufbar nach § 6 EEG Abs.1,11/07/2000,0000-00-00,0000-00-00,0000-00-00,Mainzer Netze GmbH,11YR00000001258N,10003079,E31060010000000072280991000100070,DE0004055512900000000722809910001,Ja,,,,,,,0,993910.06,2019
0731500000,55129,Mainz,RP,WIN,MS,600,regelbar und abrufbar nach § 6 EEG Abs.1,11/07/2000,0000-00-00,0000-00-00,0000-00-00,Mainzer Netze GmbH,11YR00000001258N,10003079,E31060010000000072280991000100384,DE0004055512900000000722809910001,Ja,,,,,,,0,993910.06,2019
0731500000,55129,Mainz,RP,WIN,MS,600,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",22/03/2001,0000-00-00,0000-00-00,0000-00-00,Mainzer Netze GmbH,11YR00000001258N,10003079,E31060010000000072280991000100385,DE0004055512900000000722809910001,Ja,,,,,,,0,993910.06,2019
0731500000,55129,Mainz,RP,WIN,MS,2000,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",18/10/2006,0000-00-00,0000-00-00,0000-00-00,Mainzer Netze GmbH,11YR00000001258N,10003079,E31060010000000094100991100100155,DE0004055512900000000941009911001,Ja,,,,,,,0,3792315.81,2019
0731500000,55129,Mainz,RP,WIN,MS,2000,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",08/11/2006,0000-00-00,0000-00-00,0000-00-00,Mainzer Netze GmbH,11YR00000001258N,10003079,E31060010000000094100992100100378,DE0004055512900000000941009921001,Ja,,,,,,,0,3366844,2019
0731500000,55129,Mainz,RP,WIN,MS,2000,"Regelbar nach § 9 Abs.1 EEG, Altanlagen regelbar nach § 6 Nr 1 EEG 2009",22/01/2010,0000-00-00,0000-00-00,0000-00-00,Mainzer Netze GmbH,11YR00000001258N,10003079,E31060010000000094100993300100653,DE0004055512900000094100993010653,Ja,,,,,,,0,3656756.7,2019
0714302202,57642,Alpenrod,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,07/08/1998,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001008269700001,DE0003505764200000000000010082697,Ja,,,,,,,0,535739.72,2019
0714302202,57642,Alpenrod,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,13/08/1998,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001008269700002,DE0003505764200000000000010082697,Ja,,,,,,,0,535739.72,2019
0714302202,57642,Alpenrod,RP,WIN,MS,600,regelbar und abrufbar nach § 6 EEG Abs.1,22/09/2000,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001008269700003,DE0003505764200000000000010082697,Ja,,,,,,,0,630752.03,2019
0714310060,56244,Sainerholz,RP,WIN,MS,250,regelbar und abrufbar nach § 6 EEG Abs.1,02/08/1996,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001273647300001,DE0003505624400000000000012736473,Ja,,,,,,,0,222237,2019
0714308220,56244,Ettinghausen,RP,WIN,MS,250,regelbar und abrufbar nach § 6 EEG Abs.1,16/01/1995,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001273901400001,DE0003505624400000000000012739014,Ja,,,,,,GEÄNDERT,0,202306,2019
0714306295,56479,Stein-Neukirch,RP,WIN,MS,200,regelbar und abrufbar nach § 6 EEG Abs.1,12/11/1993,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001273977400001,DE0003505647900000000000012739774,Ja,,,,,,GEÄNDERT,0,194819.88,2019
0714308232,56244,Hahn am See,RP,WIN,MS,1000,regelbar und abrufbar nach § 6 EEG Abs.1,04/12/2001,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274022500001,DE0003505624400000000000012740225,Ja,,,,,,,0,971282,2019
0714302250,57612,Kroppach,RP,WIN,MS,250,regelbar und abrufbar nach § 6 EEG Abs.1,29/11/1994,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274253800001,DE0003505761200000000000012742538,Ja,,,,,,,0,158788.4,2019
0714302225,57612,Giesenhausen,RP,WIN,MS,600,regelbar und abrufbar nach § 6 EEG Abs.1,27/08/1996,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274255400001,DE0003505761200000000000012742554,Ja,,,,,,GEÄNDERT,0,609360,2019
0714301222,56472,Fehl-Ritzhausen,RP,WIN,MS,600,regelbar und abrufbar nach § 6 EEG Abs.1,13/05/1996,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274308900001,DE0003505647200000000000012743089,Ja,,,,,,,0,64294.91,2019
0714301222,56472,Fehl-Ritzhausen,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,13/05/1996,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274308900002,DE0003505647200000000000012743089,Ja,,,,,,GEÄNDERT,0,53579.09,2019
0714301248,57629,Kirburg,RP,WIN,MS,800,regelbar und abrufbar nach § 6 EEG Abs.1,09/07/1998,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274362300001,DE0003505762900000000000012743623,Ja,,,,,,,0,930300,2019
0714301280,57629,Norken,RP,WIN,MS,100,nicht regelbar und nicht abrufbar,25/11/1993,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274399200001,DE0003505762900000000000012743992,Nein,,,,,,,0,71850,2019
0714301253,57520,Langenbach bei Kirburg,RP,WIN,MS,150,regelbar und abrufbar nach § 6 EEG Abs.1,26/04/1991,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274402600001,DE0003505752000000000000012744026,Ja,,,,,,,0,148635.43,2019
0714301253,57520,Langenbach bei Kirburg,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,24/09/1997,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274404200001,DE0003505752000000000000012744042,Ja,,,,,,,0,740397.5,2019
0714301253,57520,Langenbach bei Kirburg,RP,WIN,MS,600,regelbar und abrufbar nach § 6 EEG Abs.1,06/04/1995,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274406900001,DE0003505752000000000000012744069,Ja,,,,,,,0,592103.49,2019
0714301253,57520,Langenbach bei Kirburg,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,25/02/1997,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274407700001,DE0003505752000000000000012744077,Ja,,,,,,,0,725955,2019
0714301253,57520,Langenbach bei Kirburg,RP,WIN,MS,250,regelbar und abrufbar nach § 6 EEG Abs.1,26/10/1998,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274409300001,DE0003505752000000000000012744093,Ja,,,,,,,0,213145,2019
0714301243,56472,Hof,RP,WIN,MS,950,regelbar und abrufbar nach § 6 EEG Abs.1,24/11/2003,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274439500001,DE0003505647200000000000012744395,Ja,,,,,,,0,2398495.5,2019
0714306291,56479,Salzburg,RP,WIN,MS,250,regelbar und abrufbar nach § 6 EEG Abs.1,29/05/1996,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274440900001,DE0003505647200000000000012744409,Ja,,,,,,,0,289110,2019
0714301243,56472,Hof,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,12/12/1994,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274441700001,DE0003505647200000000000012744417,Ja,,,,,,,0,676070.97,2019
0714301243,56472,Hof,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,19/09/1997,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274442500001,DE0003505647200000000000012744425,Ja,,,,,,,0,668465.5,2019
0714306291,56479,Salzburg,RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,06/03/1996,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274443300001,DE0003505647900000000000012744433,Ja,,,,,,,0,829245.25,2019
0714306291,56479,Salzburg,RP,WIN,MS,250,regelbar und abrufbar nach § 6 EEG Abs.1,28/09/1995,0000-00-00,0000-00-00,0000-00-00,Energienetze Mittelrhein GmbH & Co. KG,11YR000000018725,10001102,E31102010000000000001274444100001,DE0003505647900000000000012744441,Ja,,,,,,,0,298593.53,2019
