Gemeindeschlüssel,plz,ort,strasse,bundesland,energietraeger,einspeisespannungsebene,leistung,einspeisemanagement,inbetriebnahme,netzzugang,ausserbetriebnahme,netzabgang,netzbetreiber,eiccode,bnetznr,anlagenschluessel,zaehlpunktbezeichnung,leistungsgemesseneanlage,aggregatzustandfluessig,aggregatzustandgas,aggregatzustandfest,anlagenuntertyp,pruefergebnis,status,markierung,menge_kwh,jahr
0731700000,66955,Pirmasens,Littersbachstr. 0,RP,WIN,MS,1500,regelbar und abrufbar nach § 6 EEG Abs.1,03/11/2003,0000-00-00,0000-00-00,0000-00-00,Stadtwerke Pirmasens Versorgungs GmbH,11YR000000038602,10000161,E301610166955AAAD1001086600000000,DE00051966955AAAD1001086600000000,Ja,,,,,,GEÄNDERT,0,2316074,2018
0733307078,67823,Unkenbach,"Gemarkung Obermoschel, Flurst. 860/10, Buchenhecke",RP,WIN,MS,1000,regelbar und abrufbar nach § 6 EEG Abs.1,22/08/2000,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230787201686,DE0003966782300000000000052307872,Ja,,,,,,,0,1428425,2018
0733511031,66851,Oberarnbach,"Gemarkung Oberarnbach, Flurst. 1800",RP,WIN,MS,1000,regelbar und abrufbar nach § 6 EEG Abs.1,27/10/1999,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230787301688,DE0003966685100000000000052307873,Ja,,,,,,,0,1471672,2018
0733511031,66851,Oberarnbach,"Gemarkung Oberarnbach, Flurst. 1590",RP,WIN,MS,1000,regelbar und abrufbar nach § 6 EEG Abs.1,31/12/2001,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230787301689,DE0003966685100000000000052307873,Ja,,,,,,,0,1471673,2018
0733511031,66851,Oberarnbach,"Gemarkung Oberarnbach, Flurst. 1676",RP,WIN,MS,1000,regelbar und abrufbar nach § 6 EEG Abs.1,29/05/2000,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230787306704,DE0003966685100000000000052307873,Ja,,,,,,,0,1471672,2018
0734003053,66957,Vinningen,"Gemarkung Vinningen, Flurst. 3125, L478",RP,WIN,MS,1650,regelbar und abrufbar nach § 6 EEG Abs.1,25/07/2001,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230787601693,DE0003966695700000000000052307876,Ja,,,,,,,0,1299316,2018
0734003053,66957,Vinningen,"Gemarkung Vinningen, Flurst. 2455, L478",RP,WIN,MS,1650,regelbar und abrufbar nach § 6 EEG Abs.1,07/12/2000,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230787601694,DE0003966695700000000000052307876,Ja,,,,,,GEÄNDERT,0,1294900,2018
0734003053,66957,Vinningen,"Gemarkung Vinningen, Flurst. 2417, L478",RP,WIN,MS,1650,regelbar und abrufbar nach § 6 EEG Abs.1,06/12/2000,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230787606677,DE0003966695700000000000052307876,Ja,,,,,,,0,1299316,2018
0733510029,67700,Niederkirchen,"Gemarkung Niederkrichen, Flurst. 317/3, Holbornerh",RP,WIN,MS,500,regelbar und abrufbar nach § 6 EEG Abs.1,23/11/2000,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230787721589,DE0003966770000000000000052307877,Ja,,,,,,,0,839684,2018
0733207044,67311,Tiefenthal,"Gemarkung Tiefenthal, Flurst. 960, Bubenbrunnen",RP,WIN,MS,1800,regelbar und abrufbar nach § 6 EEG Abs.1,21/09/2001,0000-00-00,0000-00-00,0000-00-00,Pfalzwerke Netz AG,11YR00000001555H,10002992,E30254010000000000005230788001702,DE0003966731100000000000052307880,Ja,,,,,,,0,2894147,2018
